Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
大竹,https://dazhu.anjuke.com/,-1,460,13500,1384.986111,72,30,155,83.10277778,60,22.8,30.8,28.33333333,2221,4286,3445.466667
大丰,https://dafeng.anjuke.com/,-1,200,3000,1585.901639,61,13,160,80.73606557,60,24.8,45,36.09333333,2408,4945,3466
东莞,https://dg.anjuke.com/,-1,650,950,842.9833333,60,28,91,64.95666667,59,19,31,28.24576271,1740,4358,3469.610169
海西,https://hexi.anjuke.com/,-1,600,2500,1346.983333,60,39,147,83.7,60,11,31,26.93,1243,4429,3478.15
林州,https://aylinzhou.anjuke.com/,-1,150,15000,1585.833333,60,20,166,87.16166667,60,22,43.5,36.82166667,2136,4942,3481.45
韩城,https://hancheng.anjuke.com/,-1,400,11000,2110,30,40,180,104.2033333,60,22,40,32.48333333,2526,4589,3490.333333
如皋,https://rugao.anjuke.com/,-1,600,3800,1722.162162,74,24,162,96.51216216,60,21.6,31.8,27.32166667,3043,4226,3492.983333
雅安,https://yaan.anjuke.com/,-1,300,15000,1526.587302,63,28,138,88.34920635,60,22.6,29,26.55333333,3014,4115,3528.833333
临清,https://linqing.anjuke.com/,-1,500,1500,1024.666667,60,20,160,99.03333333,60,16,41,32.03166667,1957,5068,3542.183333
单县,https://danxian.anjuke.com/,-1,400,18000,2893.016667,60,15,300,104.25,60,16,40,32.84333333,2128,4591,3551.75
新泰市,https://xintaishi.anjuke.com/,-1,380,15000,1468.366667,60,16,200,96.15,60,14,42,31.795,1800,5127,3560.833333
寿光,https://shouguang.anjuke.com/,-1,310,8000,1267.084507,71,34,170,99.30422535,60,18,35,29.69833333,2572,4648,3572.666667
澧县,https://lixian.anjuke.com/,-1,420,5500,1295.672131,61,45,154,102.6311475,60,23.8,38,33.575,2645,4808,3584.8
格尔木,https://geermu.anjuke.com/,-1,600,2500,1343.333333,60,39,147,80.28333333,60,20,31,27.955,2609,4429,3606.016667
来宾,https://laibin.anjuke.com/,-1,250,2500,1393,60,20,210,105.8533333,60,19,36,31.33166667,2250,4737,3616.2
宜城,https://xyyicheng.anjuke.com/,-1,300,13000,1670.377358,53,28,400,101.5849057,60,21,42,36.493,1819,5676,3652.316667
天长,https://tianchang.anjuke.com/,-1,200,25000,1995.526316,38,20,180,92.04473684,60,20,50,37.145,2191,5414,3663.866667
衡东,https://hengdongxian.anjuke.com/,-1,450,8500,915.9090909,33,45,160,98.45454545,27,24,76,49.64444444,2148,5618,3667.518519
崇左,https://chongzuo.anjuke.com/,-1,530,6500,1773.5,60,30,175,101.2933333,60,20.5,38.5,33.60333333,2563,4972,3677.833333
宜阳,https://lyyiyang.anjuke.com/,-1,400,3500,1301.515152,33,30,300,120.2666667,60,27,42,36.56333333,2501,4932,3680.066667
大悟,https://dawuxian.anjuke.com/,-1,650,12000,3522.5,8,50,126,95.25,19,24,90,44.26315789,1859,6618,3683.210526
浚县,https://xunxian.anjuke.com/,-1,950,1300,1042.857143,7,80,128,110.1428571,28,25,87,46.45714286,2250,5926,3688.321429
资兴,https://zixing.anjuke.com/,-1,300,9088,1140.311111,45,15,1200,110.5533333,60,19.9,40.8,34.45666667,2587,4975,3690.566667
庄河,https://zhuanghe.anjuke.com/,-1,300,10000,1411.333333,60,25,240,76.39,60,20,31.8,28.65966667,2396,4520,3698.683333
射洪,https://shehongxian.anjuke.com/,-1,350,130000,3209,60,20,300,103.47,60,18.8,33.6,29.65333333,2686,4667,3698.966667
昌乐,https://changle.anjuke.com/,-1,450,17000,1280.645161,62,45,153,98.30483871,60,21.5,34,30.58,2688,4858,3701.816667
祁东,https://qidongxian.anjuke.com/,-1,350,5500,1132.346154,26,40,170,107.4461538,60,31.8,52.8,44.55933333,2515,4975,3706.083333
安宁,https://anning.anjuke.com/,-1,800,1400,1119.166667,60,50,105,75.31,60,21,33,26.84666667,2917,4648,3709.066667
公主岭市,https://gongzhulingshi.anjuke.com/,-1,500,15000,3321.151515,33,30,140,73.32121212,60,11.5,42.5,30.08333333,1618,6000,3730.05
湘西,https://xiangxi.anjuke.com/,-1,200,12000,1539.021277,94,20,700,83.39361702,60,23,35.8,31.952,2738,4730,3743.916667
扶余,https://fuyushi.anjuke.com/,-1,600,8500,3400,3,42,89,69.66666667,60,16,42.8,33.42666667,1721,4776,3744.616667
涟源,https://lianyuan.anjuke.com/,-1,260,1680,683.6111111,36,20,200,104.2361111,60,25.8,39.9,35.395,2150,5139,3773.15
贺州,https://hezhou.anjuke.com/,-1,400,4000,1721.428571,63,18,330,103.5095238,60,23,42,35.74816667,2480,5264,3780.483333
泽州,https://zezhouxian.anjuke.com/,-1,1000,8000,1687.419355,62,32,260,102.7419355,60,18,45,38.61316667,1760,6000,3787.483333
南县,https://nanxian.anjuke.com/,-1,500,1800,865.3846154,13,64,150,109.8846154,60,16.5,88.8,49.03333333,1019,6677,3795.883333
鄄城,https://juanchengxian.anjuke.com/,-1,360,15000,1596.043478,46,40,666,130.1521739,60,28,53,43.12,2756,5328,3860.316667
郓城,https://yunchengxian.anjuke.com/,-1,680,19000,1964.59375,64,48,220,112.16875,60,28,40,35.545,2432,5143,3862.2
西双版纳,https://bannan.anjuke.com/,-1,380,5700,1614,81,20,169,72.80123457,60,28,32.8,30.75833333,3500,4429,3863.583333
湘阴,https://xiangyin.anjuke.com/,-1,400,2800,1097.933333,60,15,179.9,103.7983333,60,31.8,45,39.895,2751,5379,3896.266667
攸县,https://youxian.anjuke.com/,-1,235,1800,707.2058824,34,30,760,132.7294118,60,32.6,83,60.10633333,2172,5677,3907.583333
岑溪,https://cengxi.anjuke.com/,-1,450,2980,1501.333333,60,30,376,101.55,60,23.9,41.8,33.995,2650,5307,3909.25
舞钢,https://pdswugang.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,60,18,70,42.836,1837,6400,3913.65
尉氏,https://weishixian.anjuke.com/,-1,300,1666,955.4516129,31,30,280,102.1967742,60,16,47,38.31666667,2074,6000,3915.816667
惠东,https://huidongxian.anjuke.com/,-1,1000,3000,1882.93617,47,53,176,85.84255319,60,22,44,34.98666667,2500,5545,3922.35
张北,https://zhangbei.anjuke.com/,-1,750,13500,3409.133333,60,24,300,93.22,60,26,36,32.48833333,3272,4865,3934.45
桂阳,https://guiyangxian.anjuke.com/,-1,390,3100,1050.183673,49,25,160,101.5428571,60,27,51.8,41.57833333,2852,5725,3934.766667
阿拉尔,https://alaer.anjuke.com/,-1,700,14000,6173.6,5,84,105,93,19,26,46,40.32631579,2688,4681,3936.052632
当阳,https://ycdangyang.anjuke.com/,-1,200,1700,771.3529412,34,15,180,77.41764706,60,21.8,44.8,36.435,2903,5948,3945.083333
高密市,https://gaomishi.anjuke.com/,-1,400,2500,1216.384615,65,45,150,96.76923077,60,21,35,31.335,3000,4715,3946.05
塔城,https://tuscaloosa.anjuke.com/,-1,750,12000,1766.111111,18,66,1181,163.8944444,22,22,68,39.60454545,2619,5784,3948.636364
高平,https://gaopingshi.anjuke.com/,-1,458,13000,2452.916667,24,30,168,94.5,60,29,45,38.81333333,2900,5867,3980.283333
灌南县,https://guannanxian.anjuke.com/,-1,300,16500,2065.233333,60,20,146,85.50166667,60,21,38.5,35.398,1982,5203,3993.516667
昭通,https://zhaotong.anjuke.com/,-1,500,3750,1268.5,74,43,220,95.82567568,60,26,35,31.62166667,2500,5000,3993.9
南昌,https://nc.anjuke.com/,-1,850,1300,1167.283333,60,43,90,72.16666667,60,15,38,32.028,2143,4974,4000.383333
新建,https://nc.anjuke.com/,-1,850,1300,1167.783333,60,43,90,72.31666667,60,15,38,32.028,2143,4974,4000.383333
杞县,https://qixianqu.anjuke.com/,-1,250,18000,2276.318182,22,18,287,123.6818182,35,28,70,47.21428571,2734,5859,4001.8
霍邱,https://huoqiu.anjuke.com/,-1,300,20000,2048.116667,60,12,300,110.705,60,32,43,38.72283333,2858,5585,4007
偃师市,https://yanshishi.anjuke.com/,-1,330,2100,1138.363636,44,20,140,93.36136364,60,26,46,38.62166667,2548,5233,4028.416667
蓬莱市,https://penglaishi.anjuke.com/,-1,417,99999,3017.714286,63,10,270,88.58730159,60,16,38.8,33.26166667,1928,5542,4042.35
东明,https://dongmingxian.anjuke.com/,-1,750,20000,4171.791667,24,50,360,127.9,60,24.1,52,42.20166667,2678,5648,4043.75
淇县,https://qixian.anjuke.com/,-1,300,14400,1710.487805,41,50,280,112.8463415,60,18,47.8,39.72166667,2038,5281,4047.866667
图木舒克,https://tumushuke.anjuke.com/,-1,1250,1250,1250,1,70.9,70.9,70.9,3,43,48,44.66666667,3783,4255,4057.666667
阿勒泰,https://aletai.anjuke.com/,-1,900,5000,1766.666667,24,63,160,102.8416667,60,25,43,35.83833333,2683,5375,4057.85
沁阳,https://qinyangshi.anjuke.com/,-1,500,24000,2997.444444,36,35,260,96.35,60,26.9,50,43.42166667,2567,6259,4074.45
石狮,https://shishi.anjuke.com/,-1,700,6000,2448.063492,63,35,280,104.8746032,60,33,45,38.28333333,3585,4839,4074.9
鄢陵,https://yanling.anjuke.com/,-1,300,20000,1501.042553,47,25,300,100.4680851,60,26,50,42.72,2453,5941,4080.216667
长岭,https://changlingxian.anjuke.com/,-1,850,16000,9225,6,60,110,85.16666667,6,23.5,41.8,32.68333333,2991,4750,4088.5
陆丰,https://lufengshi.anjuke.com/,-1,542,3500,1664.733333,60,12,246,104.5416667,60,20,56,42.35833333,2188,7362,4111.766667
祁阳,https://qiyangxian.anjuke.com/,-1,230,14000,1517.672131,61,35,357.2,110.4606557,60,29,51,45.32666667,2658,5791,4120.283333
柳州,https://liuzhou.anjuke.com/,-1,600,3000,1743.816327,49,55,94,80.70816327,60,24,42,36.21933333,2435,5775,4127.583333
嵊州,https://shengzhou.anjuke.com/,-1,600,9998,1823.466667,60,20,237,91.80666667,60,26.5,40,34.89166667,3361,5264,4130.35
